rho,z,V_numerical,V_analytical,epsilon
0.01250000,0.73750000,0.01169506,0.07812598,2.00000000
0.01250000,0.75000000,0.01090500,0.07575487,2.00000000
0.01250000,0.76250000,0.01015598,0.07351642,2.00000000
0.01250000,0.77500000,0.00944394,0.07140001,2.00000000
0.01250000,0.78750000,0.00876524,0.06939613,2.00000000
0.01250000,0.80000000,0.00811663,0.06749620,2.00000000
0.01250000,0.81250000,0.00749512,0.06569251,2.00000000
0.01250000,0.82500000,0.00689804,0.06397807,2.00000000
0.01250000,0.83750000,0.00632291,0.06234655,2.00000000
0.01250000,0.85000000,0.00576749,0.06079219,2.00000000
0.01250000,0.86250000,0.00522969,0.05930977,2.00000000
0.01250000,0.87500000,0.00470759,0.05789451,2.00000000
0.01250000,0.88750000,0.00419939,0.05654203,2.00000000
0.01250000,0.90000000,0.00370341,0.05524835,2.00000000
0.01250000,0.91250000,0.00321806,0.05400977,2.00000000
0.01250000,0.92500000,0.00274186,0.05282295,2.00000000
0.01250000,0.93750000,0.00227336,0.05168475,2.00000000
0.01250000,0.95000000,0.00181120,0.05059232,2.00000000
0.01250000,0.96250000,0.00135406,0.04954302,2.00000000
0.01250000,0.97500000,0.00090065,0.04853439,2.00000000
0.01250000,0.98750000,0.00044971,0.04756416,2.00000000
0.01250000,1.00000000,0.00000000,0.04663022,2.00000000
0.02500000,-1.00000000,0.00000000,0.01020035,4.00000000
0.02500000,-0.98750000,0.00005764,0.01029935,4.00000000
0.02500000,-0.97500000,0.00011535,0.01040028,4.00000000
0.02500000,-0.96250000,0.00017320,0.01050322,4.00000000
0.02500000,-0.95000000,0.00023128,0.01060821,4.00000000
0.02500000,-0.93750000,0.00028965,0.01071532,4.00000000
0.02500000,-0.92500000,0.00034839,0.01082461,4.00000000
0.02500000,-0.91250000,0.00040757,0.01093616,4.00000000
0.02500000,-0.90000000,0.00046727,0.01105003,4.00000000
0.02500000,-0.88750000,0.00052756,0.01116629,4.00000000
0.02500000,-0.87500000,0.00058853,0.01128503,4.00000000
0.02500000,-0.86250000,0.00065025,0.01140632,4.00000000
0.02500000,-0.85000000,0.00071281,0.01153024,4.00000000
0.02500000,-0.83750000,0.00077628,0.01165689,4.00000000
0.02500000,-0.82500000,0.00084076,0.01178635,4.00000000
0.02500000,-0.81250000,0.00090633,0.01191871,4.00000000
0.02500000,-0.80000000,0.00097308,0.01205408,4.00000000
0.02500000,-0.78750000,0.00104110,0.01219256,4.00000000
0.02500000,-0.77500000,0.00111048,0.01233426,4.00000000
0.02500000,-0.76250000,0.00118133,0.01247929,4.00000000
0.02500000,-0.75000000,0.00125375,0.01262777,4.00000000
0.02500000,-0.73750000,0.00132783,0.01277982,4.00000000
0.02500000,-0.72500000,0.00140369,0.01293558,4.00000000
0.02500000,-0.71250000,0.00148144,0.01309518,4.00000000
0.02500000,-0.70000000,0.00156119,0.01325877,4.00000000
0.02500000,-0.68750000,0.00164307,0.01342649,4.00000000
0.02500000,-0.67500000,0.00172721,0.01359852,4.00000000
0.02500000,-0.66250000,0.00181374,0.01377500,4.00000000
0.02500000,-0.65000000,0.00190279,0.01395613,4.00000000
0.02500000,-0.63750000,0.00199451,0.01414208,4.00000000
0.02500000,-0.62500000,0.00208906,0.01433305,4.00000000
0.02500000,-0.61250000,0.00218659,0.01452925,4.00000000
0.02500000,-0.60000000,0.00228727,0.01473089,4.00000000
0.02500000,-0.58750000,0.00239128,0.01493820,4.00000000
0.02500000,-0.57500000,0.00249880,0.01515143,4.00000000
0.02500000,-0.56250000,0.00261004,0.01537083,4.00000000
0.02500000,-0.55000000,0.00272519,0.01559668,4.00000000
0.02500000,-0.53750000,0.00284448,0.01582926,4.00000000
0.02500000,-0.52500000,0.00296814,0.01606888,4.00000000
0.02500000,-0.51250000,0.00309642,0.01631586,4.00000000
0.02500000,-0.50000000,0.00322957,0.01657055,4.00000000
0.02500000,-0.48750000,0.00336789,0.01683331,4.00000000
0.02500000,-0.47500000,0.00351167,0.01710454,4.00000000
0.02500000,-0.46250000,0.00366121,0.01738464,4.00000000
0.02500000,-0.45000000,0.00381687,0.01767407,4.00000000
0.02500000,-0.43750000,0.00397901,0.01797329,4.00000000
0.02500000,-0.42500000,0.00414801,0.01828281,4.00000000
0.02500000,-0.41250000,0.00432428,0.01860317,4.00000000
0.02500000,-0.40000000,0.00450828,0.01893495,4.00000000
0.02500000,-0.38750000,0.00470049,0.01927877,4.00000000
0.02500000,-0.37500000,0.00490142,0.01963530,4.00000000
0.02500000,-0.36250000,0.00511164,0.02000525,4.00000000
0.02500000,-0.35000000,0.00533174,0.02038940,4.00000000
0.02500000,-0.33750000,0.00556239,0.02078859,4.00000000
0.02500000,-0.32500000,0.00580429,0.02120370,4.00000000
0.02500000,-0.31250000,0.00605821,0.02163572,4.00000000
0.02500000,-0.30000000,0.00632500,0.02208569,4.00000000
0.02500000,-0.28750000,0.00660557,0.02255476,4.00000000
0.02500000,-0.27500000,0.00690092,0.02304416,4.00000000
0.02500000,-0.26250000,0.00721216,0.02355526,4.00000000
0.02500000,-0.25000000,0.00754048,0.02408951,4.00000000
0.02500000,-0.23750000,0.00788721,0.02464854,4.00000000
0.02500000,-0.22500000,0.00825382,0.02523410,4.00000000
0.02500000,-0.21250000,0.00864192,0.02584812,4.00000000
0.02500000,-0.20000000,0.00905332,0.02649273,4.00000000
0.02500000,-0.18750000,0.00949000,0.02717027,4.00000000
0.02500000,-0.17500000,0.00995420,0.02788333,4.00000000
0.02500000,-0.16250000,0.01044841,0.02863476,4.00000000
0.02500000,-0.15000000,0.01097545,0.02942776,4.00000000
0.02500000,-0.13750000,0.01153850,0.03026585,4.00000000
0.02500000,-0.12500000,0.01214116,0.03115300,4.00000000
0.02500000,-0.11250000,0.01278758,0.03209363,4.00000000
0.02500000,-0.10000000,0.01348253,0.03309271,4.00000000
0.02500000,-0.08750000,0.01423160,0.03415586,4.00000000
0.02500000,-0.07500000,0.01504142,0.03528943,4.00000000
0.02500000,-0.06250000,0.01592007,0.03650064,4.00000000
0.02500000,-0.05000000,0.01687753,0.03779773,4.00000000
0.02500000,-0.03750000,0.01792636,0.03919015,4.00000000
0.02500000,-0.02500000,0.01908133,0.04068876,4.00000000
0.02500000,-0.01250000,0.02035371,0.04230615,4.00000000
0.02500000,0.00000000,0.02172706,0.08811399,2.00000000
0.02500000,0.01250000,0.02448842,0.09556916,2.00000000
0.02500000,0.02500000,0.02740544,0.10340336,2.00000000
0.02500000,0.03750000,0.03055144,0.11170321,2.00000000
0.02500000,0.05000000,0.03397652,0.12056735,2.00000000
0.02500000,0.06250000,0.03773456,0.13011037,2.00000000
0.02500000,0.07500000,0.04189226,0.14046780,2.00000000
0.02500000,0.08750000,0.04653380,0.15180276,2.00000000
0.02500000,0.10000000,0.05176599,0.16431470,2.00000000
0.02500000,0.11250000,0.05772580,0.17825147,2.00000000
0.02500000,0.12500000,0.06459137,0.19392608,2.00000000
0.02500000,0.13750000,0.07259837,0.21174067,2.00000000
0.02500000,0.15000000,0.08206478,0.23222136,2.00000000
0.02500000,0.16250000,0.09342918,0.25607025,2.00000000
0.02500000,0.17500000,0.10731166,0.28424520,2.00000000
0.02500000,0.18750000,0.12461338,0.31808528,2.00000000
0.02500000,0.20000000,0.14668485,0.35951471,2.00000000
0.02500000,0.21250000,0.17561842,0.41138414,2.00000000
0.02500000,0.22500000,0.21476566,0.47805803,2.00000000
0.02500000,0.23750000,0.26960331,0.56643808,2.00000000
0.02500000,0.25000000,0.34862047,0.68767303,2.00000000
0.02500000,0.26250000,0.46120675,0.85927752,2.00000000
0.02500000,0.27500000,0.60448719,1.10235123,2.00000000
0.02500000,0.28750000,0.73990441,1.40097033,2.00000000
0.02500000,0.30000000,0.79785983,1.56946374,2.00000000
0.02500000,0.31250000,0.74010542,1.40188937,2.00000000
0.02500000,0.32500000,0.60489004,1.10419169,2.00000000
0.02500000,0.33750000,0.46181308,0.86204419,2.00000000
0.02500000,0.35000000,0.34943278,0.69137314,2.00000000
